pl_name,pl_rade,pl_masse,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,st_spectype,st_mass,st_lum,st_rad,st_teff
GJ 3293 c,,,,0.17,122.6196,0.36175,M2.5,0.42,-1.65758,0.404,3466
GJ 3293 d,,,,0.59,48.1345,0.19394,M2.5,0.42,-1.65758,0.404,3466
GJ 3293 e,,,,3.34,13.2543,0.08208,M2.5,0.42,-1.65758,0.404,3466
GJ 3323 b,,,,2.58,5.3636,0.03282,M4,0.164,-2.56864,0.119,3159
GJ 3323 c,,,,0.17,40.54,0.1264,M4,0.164,-2.56864,0.119,3159
GJ 3341 b,,,,,14.207,0.089,M2.5,0.47,-1.538,0.439,3526
GJ 338 B b,,,,,24.422,0.142,M0 V,0.64,-1.10127,0.58,4014
GJ 341 b,0.88,4,,13.8,7.57686,,M1,0.48,,0.5066,3770
GJ 3470 b,,,,,3.336649,,,0.497757,-1.446,0.499698,3552
GJ 3473 b,1.264,1.86,773,59.4,1.1980035,0.01589,,0.36,-1.82391,0.364,3347
GJ 3473 c,,,329.1,1.95,15.509,0.0876,,0.36,-1.82391,0.364,3347
GJ 3512 b,,,,,203.69,0.337,M5.5 V,0.123,-2.8041,0.139,3081
GJ 3512 c,,,,,1599.6,1.292,M5.5 V,0.123,-2.8041,0.139,3081
GJ 357 b,1.2,,518,,3.9306,0.036,M2.5 V,0.342,,0.337,3505
GJ 357 c,,,401.2,4.45,9.1247,0.061,M2.5 V,0.342,-1.79833,0.337,3505
GJ 357 d,,,219.6,0.38,55.661,0.204,M2.5 V,0.342,-1.79833,0.337,3505
GJ 3634 b,,8.4,,,2.64561,0.0287,M2.5,0.45,-1.699,0.43,
GJ 367 b,0.718,0.546,1745,,0.321962,0.0071,M1.0 V,0.454,-1.54061,0.457,3522
GJ 367 c,,,,,11.5301,,M1.0 V,0.455,-1.5391,0.458,3522
GJ 367 d,,,,,34.369,,M1.0 V,0.455,-1.5391,0.458,3522
GJ 3779 b,,,,,3.0232,0.026,M4.0 V,0.27,-2.06198,0.281,3324
GJ 3929 b,1.09728674,,533.23,19.106,2.616276872,,,,,0.325635,3352
GJ 3929 c,,,317,1.68,15.04,0.081,,0.313,-1.96257,0.32,3384
GJ 393 b,,,485,9.21,7.02679,0.05402,M2.0 V,0.426,-1.57073,0.426,3579
GJ 3942 b,,,590,,6.905,0.0608,M0,0.63,-1.12,0.61,3867
GJ 3988 b,,,348,2.45,6.9442,0.0405,M4.5 V,0.1842,-2.39513,0.19734,3273
GJ 3998 b,,,,,2.64977,0.029,M1,0.5,-1.38722,0.49,3722
GJ 3998 c,,,,5.4,13.727,0.09,,0.52,-1.358,0.5,3726
GJ 3998 d,,,,1.2,41.78,0.189,,0.52,-1.358,0.5,3726
GJ 411 b,,,349.83,,12.9532,0.0785,M1.9,0.386,-1.65758,0.389,3563
GJ 414 A b,,,,,51.625,0.2403,,0.694721,,0.669922,4205.93
